annee_numero_de_tirage;jour_de_tirage;date_de_tirage;numéro_de_tirage_dans_le_cycle;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;boule_6;numero_dream;boules_gagnantes_en_ordre_croissant;nombre_de_gagnant_au_rang1_Euro_Dreams_en_france;nombre_de_gagnant_au_rang1_Euro_Dreams_en_europe;rapport_du_rang1_Euro_Dreams;nombre_de_gagnant_au_rang2_Euro_Dreams_en_france;nombre_de_gagnant_au_rang2_Euro_Dreams_en_europe;rapport_du_rang2_Euro_Dreams;nombre_de_gagnant_au_rang3_Euro_Dreams_en_france;nombre_de_gagnant_au_rang3_Euro_Dreams_en_europe;rapport_du_rang3_Euro_Dreams;nombre_de_gagnant_au_rang4_Euro_Dreams_en_france;nombre_de_gagnant_au_rang4_Euro_Dreams_en_europe;rapport_du_rang4_Euro_Dreams;nombre_de_gagnant_au_rang5_Euro_Dreams_en_france;nombre_de_gagnant_au_rang5_Euro_Dreams_en_europe;rapport_du_rang5_Euro_Dreams;nombre_de_gagnant_au_rang6_Euro_Dreams_en_france;nombre_de_gagnant_au_rang6_Euro_Dreams_en_europe;rapport_du_rang6_Euro_Dreams;nombre_de_codes_gagnants;rapport_codes_gagnants;codes_gagnants;
25023;JEUDI;20/03/2025;0;18/06/2025;37;25;23;40;38;16;5;-16-23-25-37-38-40-;0;0;0;0;1;2000,00;29;96;149,60;1447;4502;51,20;20783;67769;6,30;131971;416617;2,50;;;;
25022;LUNDI;17/03/2025;0;15/06/2025;35;19;20;17;37;23;3;-17-19-20-23-35-37-;0;0;0;0;0;0;33;93;137,10;1186;4394;46,60;17866;65008;5,80;112756;390780;2,50;;;;
25021;JEUDI;13/03/2025;0;11/06/2025;24;29;18;13;16;30;5;-13-16-18-24-29-30-;0;1;20000,00;0;0;0;47;135;92,20;1911;5503;36,30;25834;77435;4,80;144014;442703;2,50;;;;
25020;LUNDI;10/03/2025;0;08/06/2025;28;1;15;26;21;24;3;-1-15-21-24-26-28-;0;0;0;0;0;0;34;122;102,10;1204;4416;45,30;19524;67642;5,50;114089;402334;2,50;;;;
25019;JEUDI;06/03/2025;0;04/06/2025;8;25;2;18;16;1;2;-1-2-8-16-18-25-;0;0;0;0;1;2000,00;55;155;81,50;1579;5169;39,20;22553;73301;5,10;128672;419147;2,50;;;;
25018;LUNDI;03/03/2025;0;01/06/2025;29;30;12;3;36;10;1;-3-10-12-29-30-36-;0;0;0;0;0;0;37;120;101,30;1332;4664;41,90;19544;67658;5,30;112517;393536;2,50;;;;
25017;JEUDI;27/02/2025;0;28/05/2025;34;32;27;30;35;16;1;-16-27-30-32-34-35-;0;0;0;0;0;0;26;95;159,60;1066;3710;65,70;17226;59380;7,60;110663;378772;2,50;;;;
25016;LUNDI;24/02/2025;0;25/05/2025;37;32;28;15;16;19;1;-15-16-19-28-32-37-;0;0;0;0;1;2000,00;19;83;156,50;894;3917;53,30;14476;58410;6,60;94924;359296;2,50;;;;
25015;JEUDI;20/02/2025;0;21/05/2025;36;4;8;9;18;24;3;-4-8-9-18-24-36-;0;1;20000,00;0;1;2000,00;46;147;82,70;1763;5433;35,90;23569;74879;4,80;130682;419075;2,50;;;;
25014;LUNDI;17/02/2025;0;18/05/2025;36;22;37;33;11;10;5;-10-11-22-33-36-37-;0;0;0;0;0;0;18;101;129,10;1009;3953;53,00;16167;61348;6,30;103076;377310;2,50;;;;
